image_name,xmin,xmax,ymin,ymax,class_id
31_4_4_Red_5_aug_346.png,19,413,346,770,32
36_24_0_Red_5_aug_629.png,1,402,325,771,32
31_17_11_Calendly_6_aug_378.png,291,662,328,700,32
29_8_6_Dark_Blue_5_aug_238.png,1,403,266,721,32
28_31_7_Xai_5_aug_185.png,118,462,312,748,32
37_21_5_Orange_6_aug_775.png,1,412,401,854,32
26_9_16_Calendly_6_aug_120.png,295,645,397,790,32
27_24_8_Dark_Blue_5_aug_94.png,12,400,350,803,32
29_14_6_Dark_Blue_5_aug_192.png,13,411,361,805,32
41_21_0_Calendly_5_aug_988.png,253,633,380,767,32
35_5_7_Red_6_aug_588.png,1,396,363,794,32
30_2_12_Red_6_aug_281.png,32,428,326,763,32
27_46_8_Xai_5_aug_141.png,111,447,251,691,32
73_1_Calendar_aug_986.png,25,387,287,668,32
30_2_5_Dark_Blue_5_aug_286.png,1,403,336,790,32
28_11_7_Calendar_5_aug_90.png,23,391,231,560,32
38_28_0_Calendar_5_aug_725.png,27,389,240,578,32
41_9_0_Xai_5_aug_1000.png,127,480,281,728,32
36_39_0_Xai_5_aug_673.png,123,462,234,688,32
28_10_14_Calendly_6_aug_184.png,278,633,377,749,32
36_21_6_Calendly_6_aug_689.png,277,646,380,764,32
67_1_Calendar_aug_974.png,45,423,297,673,32
40_25_2_Dark_Blue_6_aug_876.png,1,412,252,700,32
39_15_0_Orange_5_aug_880.png,1,397,314,758,32
25_16_10_Orange_5_aug_42.png,20,440,379,821,32
28_12_14_Red_6_aug_123.png,25,429,296,741,32
32_18_10_Calendar_6_aug_343.png,14,395,235,613,32
37_2_5_Calendar_6_aug_670.png,72,432,265,650,32
60_1_Calendly_aug_1057.png,252,617,351,725,32
35_9_0_Xai_5_aug_640.png,108,445,220,665,32
31_16_11_Calendar_6_aug_279.png,75,439,219,598,32
31_0_4_Calendar_5_aug_266.png,47,427,274,605,32
55_1_Dark_Blue_aug_986.png,1,393,359,806,32
